"REF_DATE","GEO","DGUID","Type of reserve","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1955-03","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1955","","","","0"
"1955-03","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","788","","","","0"
"1955-03","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1092","","","","0"
"1955-03","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-04","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1957","","","","0"
"1955-04","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","784","","","","0"
"1955-04","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1097","","","","0"
"1955-04","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-05","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1970","","","","0"
"1955-05","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","791","","","","0"
"1955-05","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1104","","","","0"
"1955-05","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-06","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2016","","","","0"
"1955-06","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","836","","","","0"
"1955-06","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1106","","","","0"
"1955-06","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-07","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2021","","","","0"
"1955-07","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","830","","","","0"
"1955-07","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1116","","","","0"
"1955-07","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-08","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2019","","","","0"
"1955-08","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","817","","","","0"
"1955-08","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1127","","","","0"
"1955-08","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-09","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2021","","","","0"
"1955-09","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","814","","","","0"
"1955-09","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1132","","","","0"
"1955-09","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-10","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1979","","","","0"
"1955-10","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","763","","","","0"
"1955-10","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1141","","","","0"
"1955-10","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-11","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1973","","","","0"
"1955-11","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","755","","","","0"
"1955-11","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1143","","","","0"
"1955-11","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1955-12","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1984","","","","0"
"1955-12","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","775","","","","0"
"1955-12","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1134","","","","0"
"1955-12","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-01","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1964","","","","0"
"1956-01","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","760","","","","0"
"1956-01","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1130","","","","0"
"1956-01","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-02","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1962","","","","0"
"1956-02","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","765","","","","0"
"1956-02","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1122","","","","0"
"1956-02","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-03","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1955","","","","0"
"1956-03","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","760","","","","0"
"1956-03","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1120","","","","0"
"1956-03","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-04","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1952","","","","0"
"1956-04","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","771","","","","0"
"1956-04","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1106","","","","0"
"1956-04","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-05","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1973","","","","0"
"1956-05","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","798","","","","0"
"1956-05","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1100","","","","0"
"1956-05","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-06","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1989","","","","0"
"1956-06","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","814","","","","0"
"1956-06","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1101","","","","0"
"1956-06","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-07","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1984","","","","0"
"1956-07","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","804","","","","0"
"1956-07","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1105","","","","0"
"1956-07","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-08","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1968","","","","0"
"1956-08","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","787","","","","0"
"1956-08","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1106","","","","0"
"1956-08","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1956-09","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2003","","","","0"
"1956-09","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","808","","","","0"
"1956-09","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1106","","","","0"
"1956-09","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","90","","","","0"
"1956-10","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2016","","","","0"
"1956-10","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","816","","","","0"
"1956-10","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1110","","","","0"
"1956-10","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","90","","","","0"
"1956-11","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2033","","","","0"
"1956-11","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","829","","","","0"
"1956-11","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1114","","","","0"
"1956-11","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","90","","","","0"
"1956-12","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2035","","","","0"
"1956-12","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","842","","","","0"
"1956-12","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1103","","","","0"
"1956-12","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","90","","","","0"
"1957-01","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2031","","","","0"
"1957-01","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","835","","","","0"
"1957-01","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1106","","","","0"
"1957-01","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","90","","","","0"
"1957-02","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2020","","","","0"
"1957-02","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","828","","","","0"
"1957-02","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1102","","","","0"
"1957-02","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","90","","","","0"
"1957-03","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2022","","","","0"
"1957-03","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","831","","","","0"
"1957-03","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1101","","","","0"
"1957-03","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","90","","","","0"
"1957-04","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2001","","","","0"
"1957-04","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","806","","","","0"
"1957-04","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1106","","","","0"
"1957-04","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","90","","","","0"
"1957-05","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","2031","","","","0"
