"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Canada","2016A000011124","Receipts","Investment income","Japan","Dollars","81","millions","6","v61914403","1.1.13.6","-9","","","","0"
"1981","Canada","2016A000011124","Receipts","Investment income","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914404","1.1.13.7","441","","","","0"
"1981","Canada","2016A000011124","Receipts","Investment income","All other countries","Dollars","81","millions","6","v61914405","1.1.13.8","4295","","","","0"
"1981","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","1730","","","","0"
"1981","Canada","2016A000011124","Receipts","Direct investment income","United States","Dollars","81","millions","6","v61914407","1.1.14.2","2886","","","","0"
"1981","Canada","2016A000011124","Receipts","Direct investment income","United Kingdom","Dollars","81","millions","6","v61914408","1.1.14.3","97","","","","0"
"1981","Canada","2016A000011124","Receipts","Direct investment income","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914409","1.1.14.4","-1254","","","","0"
"1981","Canada","2016A000011124","Receipts","Direct investment income","Other European Union countries","Dollars","81","millions","6","v61914410","1.1.14.5","-1809","","","","0"
"1981","Canada","2016A000011124","Receipts","Direct investment income","Japan","Dollars","81","millions","6","v61914411","1.1.14.6","-16","","","","0"
"1981","Canada","2016A000011124","Receipts","Direct investment income","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914412","1.1.14.7","184","","","","0"
"1981","Canada","2016A000011124","Receipts","Direct investment income","All other countries","Dollars","81","millions","6","v61914413","1.1.14.8","387","","","","0"
"1981","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","384","","","","0"
"1981","Canada","2016A000011124","Receipts","Portfolio investment income","United States","Dollars","81","millions","6","v61914415","1.1.15.2","335","","","","0"
"1981","Canada","2016A000011124","Receipts","Portfolio investment income","United Kingdom","Dollars","81","millions","6","v61914416","1.1.15.3","4","","","","0"
"1981","Canada","2016A000011124","Receipts","Portfolio investment income","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914417","1.1.15.4","45","","","","0"
"1981","Canada","2016A000011124","Receipts","Portfolio investment income","Other European Union countries","Dollars","81","millions","6","v61914418","1.1.15.5","17","","","","0"
"1981","Canada","2016A000011124","Receipts","Portfolio investment income","Japan","Dollars","81","millions","6","v61914419","1.1.15.6","1","","","","0"
"1981","Canada","2016A000011124","Receipts","Portfolio investment income","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914420","1.1.15.7","11","","","","0"
"1981","Canada","2016A000011124","Receipts","Portfolio investment income","All other countries","Dollars","81","millions","6","v61914421","1.1.15.8","16","","","","0"
"1981","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","9055","","","","0"
"1981","Canada","2016A000011124","Receipts","Other investment income","United States","Dollars","81","millions","6","v61914423","1.1.16.2","2253","","","","0"
"1981","Canada","2016A000011124","Receipts","Other investment income","United Kingdom","Dollars","81","millions","6","v61914424","1.1.16.3","1799","","","","0"
"1981","Canada","2016A000011124","Receipts","Other investment income","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914425","1.1.16.4","5002","","","","0"
"1981","Canada","2016A000011124","Receipts","Other investment income","Other European Union countries","Dollars","81","millions","6","v61914426","1.1.16.5","858","","","","0"
"1981","Canada","2016A000011124","Receipts","Other investment income","Japan","Dollars","81","millions","6","v61914427","1.1.16.6","6","","","","0"
"1981","Canada","2016A000011124","Receipts","Other investment income","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914428","1.1.16.7","247","","","","0"
"1981","Canada","2016A000011124","Receipts","Other investment income","All other countries","Dollars","81","millions","6","v61914429","1.1.16.8","3891","","","","0"
"1981","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","1777","","","","0"
"1981","Canada","2016A000011124","Receipts","Secondary income","United States","Dollars","81","millions","6","v61914431","1.1.17.2","1431","","","","0"
"1981","Canada","2016A000011124","Receipts","Secondary income","United Kingdom","Dollars","81","millions","6","v61914432","1.1.17.3","194","","","","0"
"1981","Canada","2016A000011124","Receipts","Secondary income","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914433","1.1.17.4","152","","","","0"
"1981","Canada","2016A000011124","Receipts","Secondary income","Other European Union countries","Dollars","81","millions","6","v61914434","1.1.17.5","97","","","","0"
"1981","Canada","2016A000011124","Receipts","Secondary income","Japan","Dollars","81","millions","6","v61914435","1.1.17.6","5","","","","0"
